127.0.0.1 - - [23/May/2022:01:25:48 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:49 +0700] "GET /LdStore/doi-mat-khau HTTP/1.1" 200 78342
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:49 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:50 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:27:50 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:03 +0700] "POST /LdStore/doi-mat-khau HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:03 +0700] "GET /LdStore/doi-mat-khau HTTP/1.1" 200 78865
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:03 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:03 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:03 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:04 +0700] "GET /LdStore/thong-tin-tai-khoan HTTP/1.1" 200 76977
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:04 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:04 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:04 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:05 +0700] "GET /LdStore/chinh-sua-tai-khoan HTTP/1.1" 200 78313
0:0:0:0:0:0:0:1 - - [23/May/2022:01:28:05 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
